Type,Name,Size,Unit,Dwt,GT,Flag,Built,Month,Builder,Owner Group,Status,Alternative Fuel Types,SOx Scrubber Status,Eco - Electronic Engine
Container,Wan Hai 223,"1,368",TEU,"23,420","16,911",Singapore,1994,9,Naikai Innoshima,Wan Hai Lines,In Service,,,
Container,GFS Ruby,"1,732",TEU,"23,419","18,327",Singapore,2010,10,Guangzhou Wenchong,Simatech Shipping,Idle,,,
Container,Okee Alicia,"1,740",TEU,"23,419","18,327",Liberia,2007,2,Guangzhou Wenchong,OKEE Maritime GmbH,In Service,,,
Container,Baro,"1,740",TEU,"23,417","18,334",Marshall Islands,2004,7,Guangzhou Wenchong,Torvald Klaveness,In Service,,,
Container,Induro,"1,774",TEU,"23,417","18,867",Marshall Islands,2020,12,COSCO HI (Guangdong),Kotoku Kaiun KK,In Service,,,Eco – Electronic Engine Modern
Container,Bremen Trader,"1,774",TEU,"23,415","18,867",Panama,2021,4,COSCO HI (Guangdong),Lomar Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Inceda,"1,774",TEU,"23,415","18,867",Marshall Islands,2019,10,COSCO HI (Guangdong),Kotoku Kaiun KK,In Service,,,Eco – Electronic Engine Modern
Container,London Trader,"1,774",TEU,"23,415","18,867",Malta,2019,11,COSCO HI (Guangdong),Lomar Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Inferro,"1,774",TEU,"23,415","18,867",Marshall Islands,2020,5,COSCO HI (Guangdong),Kotoku Kaiun KK,In Service,,,Eco – Electronic Engine Modern
Container,Inessa,"1,774",TEU,"23,415","18,867",Marshall Islands,2020,10,COSCO HI (Guangdong),Kotoku Kaiun KK,In Service,,,Eco – Electronic Engine Modern
Container,Hansa Duburg,"1,740",TEU,"23,400","18,296",Malta,2012,6,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,Eco – Electronic Engine
Container,Hansa Augsburg,"1,740",TEU,"23,400","18,300",Liberia,2008,4,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,Fitted,
Container,Hansa Falkenburg,"1,740",TEU,"23,400","18,300",Liberia,2008,6,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Hansa Regensburg,"1,740",TEU,"23,400","18,300",Liberia,2008,9,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Ela,"1,740",TEU,"23,400","18,300",Liberia,2012,4,Guangzhou Wenchong,Carsten Rehder,In Service,,,
Container,Louisa Schulte,"1,740",TEU,"23,400","18,321",Singapore,2008,2,Guangzhou Wenchong,Schulte Group,In Service,,,
Container,Alianca Leblon,"1,740",TEU,"23,400","18,334",Brazil,2005,3,Guangzhou Wenchong,A.P. Moller,In Service,,,
Container,Hansa Homburg,"1,740",TEU,"23,400","18,300",Liberia,2009,1,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Hansa Coburg,"1,740",TEU,"23,400","18,300",Liberia,2007,4,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Haian West,"1,740",TEU,"23,400","18,300",Vietnam,2007,10,Guangzhou Wenchong,Hai An Transport,In Service,,,
Container,EM Hydra,"1,740",TEU,"23,400","18,334",Liberia,2005,7,Guangzhou Wenchong,Eurobulk,In Service,,,
Container,A Kinka,"1,740",TEU,"23,400","18,334",Panama,2010,8,Guangzhou Wenchong,Goto Shipping,In Service,,,
Container,William,"1,740",TEU,"23,400","18,334",Madeira,2009,6,Guangzhou Wenchong,TB Marine Hamburg,In Service,,,
Container,Ludwig Schulte,"1,740",TEU,"23,400","18,334",Singapore,2008,7,Guangzhou Wenchong,Schulte Group,In Service,,,
Container,Asian Ace,"1,740",TEU,"23,395","18,327",Liberia,2005,5,Guangzhou Wenchong,Fredriksen Group,In Service,,,
Container,Hansa Osterburg,"1,740",TEU,"23,387","18,327",Madeira,2007,11,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Kapitan Afanasyev,"1,748",TEU,"23,380","16,575",Cyprus,1998,2,Szczecin Shipyard,FESCO,In Service,,,
Container,Vladivostok,"1,748",TEU,"23,380","16,575",Cyprus,1998,6,Szczecin Shipyard,FESCO,Idle,,,
Container,Kapitan Maslov,"1,748",TEU,"23,380","16,575",Cyprus,1998,4,Szczecin Shipyard,FESCO,In Service,,,
Container,Fitz Roy,"1,740",TEU,"23,370","18,358",Liberia,2011,3,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Mount Kellett,"1,756",TEU,"23,367","18,870",Hong Kong,2017,7,Zhejiang Ouhua SB,Mandarin Shipping,In Service,,,Eco – Electronic Engine Modern
Container,New Vision,"1,730",TEU,"23,354","16,000",Vietnam,2012,6,Ha Long Shipbuilding,Vinashin Ocean,Laid Up,,,
Container,Elbella,"1,740",TEU,"23,351","18,160",Malta,2006,5,Guangzhou Wenchong,Eastern Med,In Service,,,
Container,Acacia Rei,"1,740",TEU,"23,328","18,326",Singapore,2010,4,Guangzhou Wenchong,Haitong Container,In Service,,,
Container,Vinashin Express I,"1,730",TEU,"23,322","16,174",Vietnam,2013,6,Bach Dang S/Y,Biendong Shipping,Laid Up,,,
Container,Hansa Offenburg,"1,740",TEU,"23,314","18,358",Liberia,2011,4,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Moana Chief,"1,740",TEU,"23,305","18,358",New Zealand,2011,5,Guangzhou Wenchong,John Swire & Sons,In Service,,,
Container,Polynesia,"1,740",TEU,"23,301","18,358",Germany,2011,7,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Hansa Neuburg,"1,740",TEU,"23,296","18,326",Liberia,2010,3,Guangzhou Wenchong,Leonhardt & Blumberg,Idle,,,
Container,AS Selina,"1,740",TEU,"23,295","18,358",Liberia,2012,3,Guangzhou Wenchong,MPC Group,In Service,,,
Container,A Daisen,"1,740",TEU,"23,295","18,326",Singapore,2010,11,Guangzhou Wenchong,Goto Shipping,In Service,,,
Container,Perito Moreno,"1,740",TEU,"23,294","18,334",Liberia,2009,12,Guangzhou Wenchong,NSC Schiffahrt,In Service,,,
Container,Kalliroe,"1,740",TEU,"23,292","18,321",Liberia,2011,1,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Pinara,"1,740",TEU,"23,286","18,334",Liberia,2004,11,Guangzhou Wenchong,Atlantica Shipping,In Service,,,
Container,Hansa Steinburg,"1,740",TEU,"23,286","18,321",Liberia,2010,1,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,Nefeli,"1,740",TEU,"23,265","18,321",Liberia,2011,7,Guangzhou Wenchong,Cosmoship Management,In Service,,,
Container,Ren Jian ER,"1,684",TEU,"23,254","16,269",Peoples' Republic of China,1994,12,Seebeckwerft,Quanzhou Ansheng,In Service,,,
Container,Feeder 1,"1,762",TEU,"23,250","19,235",Singapore,2021,2,COSCO HI (Guangdong),Pelayaran Meratus,In Service,,,Eco – Electronic Engine Modern
Container,Sinar Sumba,"1,740",TEU,"23,247","18,321",Singapore,2008,6,Guangzhou Wenchong,Samudera Indonesia,In Service,,,
Container,Hansa Bitburg,"1,740",TEU,"23,247","18,321",Liberia,2008,10,Guangzhou Wenchong,Leonhardt & Blumberg,In Service,,,
Container,X-Press Nuptse,"1,730",TEU,"23,245","18,871",Liberia,2014,8,Zhejiang Ouhua SB,Sea Consortium,In Service,,,Eco – Electronic Engine
Container,X-Press Lhotse,"1,730",TEU,"23,245","18,871",Liberia,2014,10,Zhejiang Ouhua SB,Sea Consortium,In Service,,,Eco – Electronic Engine
Container,B Trader,"1,762",TEU,"23,235","18,860",Malta,2019,2,COSCO HI (Guangdong),Lomar Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Trieste Trader,"1,762",TEU,"23,225","19,122",Malta,2019,4,COSCO HI (Guangdong),Lomar Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Madrid Trader,"1,762",TEU,"23,221","19,122",Malta,2019,6,COSCO HI (Guangdong),Lomar Shipping,In Service,,,Eco – Electronic Engine Modern
Container,Meratus Medan 5,"1,560",TEU,"23,200","16,750",Indonesia,1999,1,Imabari SB Marugame,Pelayaran Meratus,In Service,,,
Container,Wan Hai 266,"1,728",TEU,"23,200","18,872",Singapore,2002,4,Shin Kurushima,Wan Hai Lines,In Service,,,
Container,Wan Hai 267,"1,728",TEU,"23,200","18,872",Singapore,2002,7,Shin Kurushima,Wan Hai Lines,In Service,,,
Container,Smiley Lady,"1,730",TEU,"23,075","16,803",Bahamas,1999,3,Szczecin Shipyard,AIMS Shipping,In Service,,,
Container,Robert Rickmers,"1,728",TEU,"23,067","16,802",Marshall Islands,2003,6,Szczecin Shipyard,Zeaborn,In Service,,,
Container,Egy Glory,"1,728",TEU,"23,064","16,801",Egypt,1996,2,Szczecin Shipyard,Mahoney Marine Serv,Idle,,,
Container,Vasi Star,"1,730",TEU,"23,064","16,801",Liberia,1996,9,Szczecin Shipyard,Vasi Shipping,In Service,,,
Container,FSL Singapore,"1,528",TEU,"23,063","16,850",Liberia,2020,3,Huangpu Wenchong,Cosmoship Management,In Service,,,Eco – Electronic Engine Modern
Container,FSL Kelang,"1,528",TEU,"23,063","16,850",Liberia,2020,4,Huangpu Wenchong,Cosmoship Management,In Service,,,Eco – Electronic Engine Modern
Container,FSL Colombo,"1,528",TEU,"23,063","16,850",Liberia,2020,12,Huangpu Wenchong,Cosmoship Management,Idle,,,Eco – Electronic Engine Modern
Container,FSL Kolkata,"1,528",TEU,"23,063","16,850",Liberia,2020,12,Huangpu Wenchong,Cosmoship Management,Idle,,,Eco – Electronic Engine Modern
Container,Capitaine Tasman,"1,730",TEU,"23,063","16,800",Singapore,2009,5,Szczecin Shipyard,Wonderful Co,In Service,,,
Container,Kabul,"1,726",TEU,"23,051","16,803",St. Kitts & Nevis,2001,4,Szczecin Shipyard,Sea Lead Shipping,In Service,,,
Container,Charlie,"1,730",TEU,"23,051","16,661",Liberia,2002,12,Szczecin Shipyard,Atlantica Shipping,In Service,,,
Container,SOL Bangladesh,"1,728",TEU,"23,041","16,500",Panama,1995,12,Szczecin Shipyard,Transworld Group,In Service,,,
Container,Naya,"1,730",TEU,"23,040","16,801",Panama,1997,9,Szczecin Shipyard,Safe Sea Services,In Service,,,
Container,Miro,"1,728",TEU,"23,029","16,801",Marshall Islands,1998,2,Szczecin Shipyard,Atlantica Shipping,In Service,,,
Container,Leopard,"1,728",TEU,"23,029","16,801",Liberia,1998,3,Szczecin Shipyard,Element Shipmgmt,In Service,,,
Container,Fiona,"1,730",TEU,"23,028","16,801",Gibraltar,1998,9,Szczecin Shipyard,Regal Agencies Corp,In Service,,,
Container,SOL Delta,"1,726",TEU,"23,016","16,800",Panama,1995,6,Szczecin Shipyard,Transworld Group,In Service,,,
Container,Mao Gang Shang Hai,"1,562",TEU,"23,000",,Peoples' Republic of China,2021,3,Hexing Shipyard,Maoming Gangxin,In Service,,,
Container,Szczecin Trader,"1,728",TEU,"22,990","16,803",Liberia,1998,12,Szczecin Shipyard,Liberty Blue,In Service,,,
Container,SOL Hind,"1,730",TEU,"22,984","16,801",Panama,1996,9,Szczecin Shipyard,Transworld Group,In Service,,,
Container,Mercury,"1,728",TEU,"22,983","16,200",St. Kitts & Nevis,1996,3,Szczecin Shipyard,Phoenicia Maritime,Idle,,,
Container,Spero,"1,730",TEU,"22,968","16,802",Marshall Islands,2002,1,Szczecin Shipyard,Conbulk Shipping,In Service,,,
Container,Capitaine Dampier,"1,730",TEU,"22,967","16,803",Singapore,2001,10,Szczecin Shipyard,Wonderful Co,Idle,,,
Container,MSC Panaya,"1,730",TEU,"22,967","16,803",Liberia,2000,12,Szczecin Shipyard,MSC,In Service,,,
Container,Polo,"1,726",TEU,"22,967","16,661",Liberia,2002,11,Szczecin Shipyard,Atlantica Shipping,In Service,,,
Container,MSC Elsa 3,"1,728",TEU,"22,900","16,800",Liberia,1997,6,Szczecin Shipyard,MSC,In Service,,,
Container,SOL Straits,"1,728",TEU,"22,900","16,801",Panama,1997,2,Szczecin Shipyard,Transworld Group,In Service,,,
Container,Carla-Liv,"1,728",TEU,"22,900","16,600",Marshall Islands,1999,11,Szczecin Shipyard,Jebsen Shipping,In Service,,,
Container,Gdynia Trader,"1,730",TEU,"22,900","16,803",Malta,2001,6,Szczecin Shipyard,Lomar Shipping,In Service,,,
Container,Capt. David I Lyon,"1,728",TEU,"22,878","16,803",United States,1996,12,Szczecin Shipyard,Sealift Inc,In Service,,,
Container,Prosper,"1,504",TEU,"22,800","17,287",Liberia,1996,9,Stocznia Gdansk,Costamare Shipping,In Service,,,
Container,Wan Hai 261,"1,728",TEU,"22,800","18,872",Singapore,2001,7,Shin Kurushima,Wan Hai Lines,Idle,,,
Container,Wan Hai 262,"1,728",TEU,"22,800","18,872",Singapore,2001,9,Shin Kurushima,Wan Hai Lines,In Service,,,
Container,Wan Hai 263,"1,728",TEU,"22,800","18,872",Singapore,2001,12,Shin Kurushima,Wan Hai Lines,In Service,,,
Container,Wan Hai 265,"1,728",TEU,"22,800","18,872",Singapore,2002,2,Shin Kurushima,Wan Hai Lines,In Service,,,
Container,Sagamore,"1,730",TEU,"22,749","16,803",United States,2008,8,Szczecin Shipyard,Sealift Inc,In Service,,,
Container,Voronezh,"1,730",TEU,"22,746","16,803",Cyprus,2009,1,Szczecin Shipyard,FESCO,In Service,,,
Container,Tanto Bersama,"1,404",TEU,"22,735","16,731",Indonesia,1991,,Shin Kurushima,Tanto Intim Line,In Service,,,
Container,Meratus Medan 3,"1,404",TEU,"22,734","16,731",Indonesia,1990,,Shin Kurushima,Pelayaran Meratus,In Service,,,
Container,Kota Wangsa,"1,398",TEU,"22,703","16,772",Singapore,1996,9,Kanasashi K.K.,PIL,In Service,,,
Container,Dong Run 2,"1,400",TEU,"22,566","16,115",Peoples' Republic of China,2018,5,Jinglu Shipyard,Huangshi Anyuan Shpg,In Service,,,Eco – Electronic Engine Modern
Container,Dong Run 3,"1,400",TEU,"22,566","16,115",Peoples' Republic of China,2018,7,Jinglu Shipyard,Huangshi Anyuan Shpg,In Service,,,Eco – Electronic Engine Modern
Container,Dong Run 5,"1,400",TEU,"22,566","16,115",Peoples' Republic of China,2018,7,Jinglu Shipyard,Huangshi Anyuan Shpg,In Service,,,Eco – Electronic Engine Modern
Container,Sky Wind,"1,809",TEU,"22,507","17,853",Panama,2019,3,Hyundai Mipo,ITOCHU Corp,In Service,,,Eco – Electronic Engine Modern
Container,Sky Sunshine,"1,809",TEU,"22,507","17,853",Liberia,2019,5,Hyundai Mipo,ITOCHU Corp,In Service,,,Eco – Electronic Engine Modern
Container,MSC Agata,"1,524",TEU,"22,450","16,202",Liberia,1994,6,Szczecin Shipyard,MSC,In Service,,,
Container,Jonni Ritscher,"1,875",TEU,"22,450","17,189",Liberia,2006,9,J. J. Sietas,Gerd Ritscher KG,In Service,,,Eco – Electronic Engine
Container,Ever Cast,"1,809",TEU,"22,444","17,853",Panama,2020,1,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Chant,"1,809",TEU,"22,444","17,853",Panama,2020,4,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Charm,"1,809",TEU,"22,444","17,853",Panama,2020,6,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,KMTC Tokyo,"1,809",TEU,"22,444","17,853",Panama,2019,2,Hyundai Mipo,Nissen Kaiun,In Service,,,Eco – Electronic Engine Modern
Container,KMTC Osaka,"1,809",TEU,"22,444","17,853",Panama,2019,3,Hyundai Mipo,Nissen Kaiun,In Service,,,Eco – Electronic Engine Modern
Container,KMTC Gwangyang,"1,809",TEU,"22,444","17,853",Panama,2019,6,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,KMTC Pohang,"1,809",TEU,"22,444","17,853",Panama,2019,7,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,KMTC Nagoya,"1,809",TEU,"22,444","17,853",Panama,2019,5,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Green Celebrity,"1,809",TEU,"22,444","17,853",Panama,2019,7,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,OEL Shasta,"1,684",TEU,"22,420","16,264",Panama,1997,11,Szczecin Shipyard,Transworld Group,In Service,,,
Container,Ever Cheer,"1,809",TEU,"22,405","17,853",Panama,2020,7,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,KMTC Incheon,"1,809",TEU,"22,387","17,853",Panama,2019,6,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Green Clarity,"1,809",TEU,"22,384","17,853",Panama,2019,8,Hyundai Mipo,Nissen Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Seatrade Blue,"2,256",TEU,"22,380","24,905",Liberia,2017,1,Zhejiang Yangfan,Seatrade Groningen,In Service,,,Eco – Electronic Engine Modern
Container,Seatrade Red,"2,268",TEU,"22,380","24,901",Liberia,2016,9,Zhejiang Yangfan,Seatrade Groningen,In Service,,,Eco – Electronic Engine Modern
Container,Ever Clear,"1,984",TEU,"22,363","18,658",Panama,2020,10,Imabari SB (Imabari),Imabari Shipbuilding,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Crown,"1,984",TEU,"22,363","18,658",Panama,2020,11,Imabari SB (Imabari),Unknown,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Candid,"1,984",TEU,"22,363","18,658",Panama,2021,1,Imabari SB (Imabari),Kawana Kaiun,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Sawasdee Pacific,"1,809",TEU,"22,344","18,051",Marshall Islands,2020,3,Hyundai Mipo,Sinokor Merchant,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Sawasdee Baltic,"1,809",TEU,"22,344","18,051",Marshall Islands,2020,6,Hyundai Mipo,Sinokor Merchant,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Sawasdee Sunrise,"1,809",TEU,"22,344","18,051",Marshall Islands,2020,7,Hyundai Mipo,Sinokor Merchant,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Green Ocean,"1,809",TEU,"22,343","17,930",Singapore,2019,10,Hyundai Mipo,XT Group,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Belitaki,"1,654",TEU,"22,330","16,250",Liberia,1998,8,Szczecin Shipyard,Conbulk Shipping,In Service,,,
Container,Green Forest,"1,809",TEU,"22,329","17,954",Singapore,2020,1,Hyundai Mipo,XT Group,In Service,,Fitted,Eco – Electronic Engine Modern
Container,POS Bangkok,"1,811",TEU,"22,317","18,085",Panama,2019,11,Hyundai Mipo,Pan Ocean,In Service,,Fitted,Eco – Electronic Engine Modern
Container,POS Hochiminh,"1,811",TEU,"22,317","18,085",Panama,2020,1,Hyundai Mipo,Pan Ocean,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Tasman Strait,"1,713",TEU,"22,314","18,123",Liberia,2008,5,CSBC (Keelung),Carsten Rehder,In Service,,,
Container,Torres Strait,"1,713",TEU,"22,314","18,123",Liberia,2008,7,CSBC (Keelung),Carsten Rehder,In Service,,,
Container,Seoul Glow,"1,713",TEU,"22,314","18,123",Liberia,2008,9,CSBC (Keelung),Tufton,In Service,,,
Container,MCC Kyoto,"1,713",TEU,"22,314","18,123",Liberia,2008,12,CSBC (Keelung),Tufton,In Service,,,
Container,AS Savanna,"1,713",TEU,"22,314","18,123",Madeira,2009,6,CSBC (Keelung),MPC Group,In Service,,Fitted,
Container,AS Sabrina,"1,713",TEU,"22,314","18,123",Liberia,2009,8,CSBC (Keelung),MPC Group,In Service,,Fitted,
Container,AS Samanta,"1,713",TEU,"22,314","18,123",Liberia,2009,10,CSBC (Keelung),MPC Group,In Service,,Fitted,
Container,AS Sara,"1,713",TEU,"22,314","18,123",Madeira,2010,1,CSBC (Keelung),MPC Group,In Service,,,
Container,AS Svenja,"1,713",TEU,"22,314","18,123",Liberia,2010,2,CSBC (Keelung),MPC Group,In Service,,,
Container,AS Susanna,"1,713",TEU,"22,314","18,123",Liberia,2010,3,CSBC (Keelung),MPC Group,In Service,,,
Container,AS Serafina,"1,713",TEU,"22,314","18,123",Liberia,2010,6,CSBC (Keelung),MPC Group,In Service,,,
Container,AS Sophia,"1,713",TEU,"22,314","18,123",Madeira,2007,1,CSBC (Keelung),MPC Group,In Service,,,
Container,AS Serena,"1,713",TEU,"22,314","18,123",Madeira,2007,2,CSBC (Keelung),MPC Group,In Service,,,
Container,Tanto Bersatu,"1,256",TEU,"22,308","16,869",Indonesia,1993,3,Shin Kurushima,Tanto Intim Line,In Service,,,
Container,Bomar Vanquish,"1,719",TEU,"22,308","17,189",Liberia,2001,12,J. J. Sietas,Borealis Maritime,In Service,,,
Container,MSC Kayla,"1,719",TEU,"22,308","17,189",Liberia,2002,2,J. J. Sietas,MSC,In Service,,,
Container,MSC Amy,"1,719",TEU,"22,308","17,189",Madeira,2002,8,J. J. Sietas,MSC,In Service,,Fitted,
Container,Joanna,"1,732",TEU,"22,301","16,802",Liberia,1999,6,Szczecin Shipyard,Eurobulk,Idle,,,
Container,Victoria,"1,678",TEU,"22,267","17,188",Madeira,2004,11,J. J. Sietas,Peter Dohle,In Service,,,
Container,Vera D,"1,678",TEU,"22,267","17,188",Madeira,2004,11,J. J. Sietas,Peter Dohle,In Service,,,
Container,Queen B III,"1,856",TEU,"22,267","17,360",Cyprus,2006,3,J. J. Sietas,World Direct,In Service,,,Eco – Electronic Engine
Container,Violetta,"1,875",TEU,"22,267","17,189",Madeira,2007,4,J. J. Sietas,Peter Dohle,In Service,,,Eco – Electronic Engine
Container,Valentina,"1,875",TEU,"22,267","17,189",Madeira,2007,6,J. J. Sietas,Peter Dohle,In Service,,,Eco – Electronic Engine
Container,Valdivia,"1,856",TEU,"22,267","17,189",Madeira,2006,12,J. J. Sietas,Peter Dohle,In Service,,,Eco – Electronic Engine
Container,Helle Ritscher,"1,875",TEU,"22,254","17,360",Liberia,2006,5,J. J. Sietas,Gerd Ritscher KG,In Service,,,Eco – Electronic Engine
Container,He Jin,"1,608",TEU,"22,250","15,929",Peoples' Republic of China,1997,8,Meeres-Technik,Zhoushan Hefeng Shpg,In Service,,,
Container,Xiumei Shanghai,"1,608",TEU,"22,250","15,929",South Korea,1997,9,Meeres-Technik,Sinokor Merchant,In Service,,,
Container,Sawasdee Atlantic,"1,809",TEU,"22,234","18,051",Marshall Islands,2020,4,Hyundai Mipo,Sinokor Merchant,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Meratus Medan 2,"1,308",TEU,"22,219","17,156",Indonesia,1991,,Shin Kurushima,Pelayaran Meratus,In Service,,,
Container,Claire A,"1,604",TEU,"22,178","17,687",Turkey,2008,11,Peene Werft,Arkas Shipping,In Service,,,
Container,Diane A,"1,604",TEU,"22,178","17,687",Turkey,2008,12,Peene Werft,Arkas Shipping,In Service,,,
Container,Wan Hai 172,"1,800",TEU,"22,171","16,488",Hong Kong,2009,5,CSBC (Keelung),Wan Hai Lines,In Service,,,
Container,Ever Create,"1,800",TEU,"22,149","17,970",Taiwan,2021,3,Hyundai Mipo,Evergreen Marine,In Service,,Fitted,Eco – Electronic Engine Modern
Container,CNC Neptune,"1,952",TEU,"22,081","18,652",Singapore,2019,9,Tsuneishi Cebu,Lepta Shipping,In Service,,Fitted,Eco – Electronic Engine Modern
Container,CNC Mars,"1,952",TEU,"22,081","18,652",Singapore,2020,2,Tsuneishi Cebu,Lepta Shipping,In Service,,Fitted,Eco – Electronic Engine Modern
Container,CNC Jupiter,"1,952",TEU,"22,081","18,652",Malta,2020,8,Tsuneishi Cebu,Lepta Shipping,In Service,,Fitted,Eco – Electronic Engine Modern
Container,CNC Saturn,"1,952",TEU,"22,081","18,652",Panama,2020,11,Tsuneishi Cebu,Lepta Shipping,In Service,,Fitted,Eco – Electronic Engine Modern
Container,SITC Laem Chabang,"1,620",TEU,"22,078","17,153",Hong Kong,2003,5,Imabari SB (Imabari),SITC,In Service,,,
Container,SITC Bangkok,"1,620",TEU,"22,078","17,153",Hong Kong,2003,7,Imabari SB (Imabari),SITC,In Service,,,
Container,YM Hawk,"1,500",TEU,"22,078","15,167",Taiwan,2005,1,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Harmony,"1,500",TEU,"22,078","15,167",Taiwan,2005,3,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Intelligent,"1,805",TEU,"22,078","16,488",Taiwan,2006,1,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Improvement,"1,805",TEU,"22,072","16,472",Liberia,2007,11,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,Kestrel,"1,800",TEU,"22,071","16,770",Liberia,2013,5,CSBC (Keelung),XT Group,In Service,,,
Container,Pelican,"1,800",TEU,"22,071","16,770",Liberia,2013,5,CSBC (Keelung),XT Group,In Service,,Pending,
Container,Ever Center,"1,844",TEU,"22,053","17,943",Panama,2021,1,Jiangsu New YZJ,Pacific Ship Mgmt,In Service,,Fitted,Eco – Electronic Engine Modern
Container,Ever Chaste,"1,844",TEU,"22,053","17,943",Panama,2021,3,Jiangsu New YZJ,Pacific Ship Mgmt,In Service,,Fitted,Eco – Electronic Engine Modern
Container,SITC Jakarta,"1,620",TEU,"22,052","17,153",Hong Kong,2003,9,Imabari SB (Imabari),SITC,In Service,,,
Container,Marguerite A,"1,529",TEU,"22,033","17,655",Malta,2005,6,Peene Werft,Arkas Shipping,In Service,,,
Container,Vento di Scirocco,"1,529",TEU,"22,033","17,655",Malta,2005,7,Peene Werft,Arkas Shipping,In Service,,,
Container,Vento di Tramontana,"1,604",TEU,"22,030","17,665",Malta,2007,12,Peene Werft,Arkas Shipping,In Service,,,
Container,YM Ideals,"1,800",TEU,"22,027","16,488",Taiwan,2006,5,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Instruction,"1,805",TEU,"22,027","16,488",Liberia,2007,5,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Interaction,"1,805",TEU,"22,027","16,488",Liberia,2007,7,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Inauguration,"1,805",TEU,"22,027","16,488",Taiwan,2007,8,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Horizon,"1,800",TEU,"22,027","16,488",Taiwan,2005,5,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Heights,"1,800",TEU,"22,027","16,488",Taiwan,2005,7,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Immense,"1,800",TEU,"22,027","16,488",Taiwan,2006,7,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Increment,"1,800",TEU,"22,027","16,488",Liberia,2006,8,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Inception,"1,805",TEU,"22,027","16,488",Liberia,2006,10,CSBC (Keelung),Yang Ming Marine,In Service,,,
Container,YM Image,"1,800",TEU,"22,027","16,488",Liberia,2006,11,CSBC (Kaohsiung),Yang Ming Marine,In Service,,,
Container,YM Initiative,"1,800",TEU,"22,027","16,488",Liberia,2007,1,CSBC (Kaohsiung),Yang Ming Marine,In Service,,,
Container,YM Inventive,"1,800",TEU,"22,027","16,488",Liberia,2007,4,CSBC (Kaohsiung),Yang Ming Marine,In Service,,,
Container,OEL Shravan,"1,608",TEU,"22,020","15,929",Panama,1998,3,Aker MTW Werft,Transworld Group,In Service,,,
Container,MSC Alice,"1,730",TEU,"22,015","16,803",Liberia,2003,10,Szczecin Shipyard,Fredriksen Group,In Service,,,
